PE;category_id;
1092;1;
1093;1;
1073;2;
1074;2;
1075;2;
1077;2;
1018;3;
1019;3;
1020;3;
1021;3;
1022;3;
1023;4;
1024;4;
1025;4;
1016;5;
1013;6;
1017;7;
1012;8;
1090;9;
1091;10;
1088;11;
1089;11;
1063;12;
1064;12;
1067;12;
1103;13;
1094;14;
1096;14;
1097;14;
1084;15;
1053;16;
1054;16;
1055;16;
1056;16;
1087;17;
1104;18;
1105;18;
1033;19;
1034;19;
1035;19;
1036;19;
1000;20;
1038;21;
1039;21;
1040;21;
1058;21;
1059;21;
1060;21;
1061;21;
1062;21;
1082;22;
1083;22;
1086;22;
1048;23;
1049;23;
1050;23;
1051;23;
1078;24;
1079;25;
1080;25;
1102;25;
1068;26;
1069;26;
1070;26;
1071;26;
1072;26;
1003;27;
1004;27;
1005;27;
1006;27;
1007;27;
1008;27;
1081;28;
1009;29;
1010;29;
1011;29;
1028;30;
1029;30;
1030;30;
1031;30;
1032;30;
1043;31;
1044;31;
1045;31;
